Add component: Footprint Not Found RPI-PICO-MOD
Added Pin To Net: NetName=+5 Pin=3V3Reg-3
Added Pin To Net: NetName=+5 Pin=AudioModule-7
Added Pin To Net: NetName=+5 Pin=C1-1
Added Pin To Net: NetName=+5 Pin=C2-2
Added Pin To Net: NetName=+5 Pin=ESPHR-3
Added Pin To Net: NetName=+5 Pin=ESPHR-4
Added Pin To Net: NetName=+5 Pin=HallEffect1-1
Added Pin To Net: NetName=+5 Pin=HallEffect2-1
Added Pin To Net: NetName=+5 Pin=HallEffect3-1
Added Pin To Net: NetName=+5 Pin=LCD_Header-1
Added Pin To Net: NetName=+5 Pin=LED_Header-1
Added Pin To Net: NetName=+5 Pin=PIHL-3
Added Pin To Net: NetName=+5 Pin=PIHL-4
Added Pin To Net: NetName=+5 Pin=PIM1-5
Added Pin To Net: NetName=+5 Pin=PIM1-6
Added Pin To Net: NetName=+5 Pin=PIM2-5
Added Pin To Net: NetName=+5 Pin=PIM2-6
Added Pin To Net: NetName=+5 Pin=PIM3-5
Added Pin To Net: NetName=+5 Pin=PIM3-6
Added Pin To Net: NetName=+5 Pin=PIM4-5
Added Pin To Net: NetName=+5 Pin=PIM4-6
Added Pin To Net: NetName=+5 Pin=PWR Terminal-2
Added Pin To Net: NetName=+5 Pin=RE1-1
Added Pin To Net: NetName=+5 Pin=RE2-1
Added Pin To Net: NetName=+5 Pin=RE3-1
Added Pin To Net: NetName=+5 Pin=RE4-1
Added Pin To Net: NetName=+5 Pin=TR1-1
Added Pin To Net: NetName=+5 Pin=TR2-1
Added Pin To Net: NetName=+5 Pin=TR3-1
Added Pin To Net: NetName=+5 Pin=TR4-1
Added Pin To Net: NetName=+5 Pin=DRV1-4
Added Pin To Net: NetName=+5 Pin=DRV2-4
Added Pin To Net: NetName=+5 Pin=DRV3-4
Added Pin To Net: NetName=+5 Pin=DRV4-4
Added Net: Name=+5
Added Pin To Net: NetName=3V3 Pin=3V3Reg-2
Added Pin To Net: NetName=3V3 Pin=C3-2
Added Pin To Net: NetName=3V3 Pin=HER1-2
Added Pin To Net: NetName=3V3 Pin=HER2-2
Added Pin To Net: NetName=3V3 Pin=HER3-2
Added Pin To Net: NetName=3V3 Pin=R1-1
Added Pin To Net: NetName=3V3 Pin=TIR1-2
Added Pin To Net: NetName=3V3 Pin=TIR2-2
Added Pin To Net: NetName=3V3 Pin=TIR3-2
Added Pin To Net: NetName=3V3 Pin=TIR4-2
Added Net: Name=3V3
Added Pin To Net: NetName=GND Pin=AudioModule-6
Added Pin To Net: NetName=GND Pin=C1-2
Added Pin To Net: NetName=GND Pin=C2-1
Added Pin To Net: NetName=GND Pin=C3-1
Added Pin To Net: NetName=GND Pin=ESPHL-5
Added Pin To Net: NetName=GND Pin=ESPHL-6
Added Pin To Net: NetName=GND Pin=ESPHL-15
Added Pin To Net: NetName=GND Pin=ESPHL-16
Added Pin To Net: NetName=GND Pin=ESPHL-25
Added Pin To Net: NetName=GND Pin=ESPHL-26
Added Pin To Net: NetName=GND Pin=ESPHR-5
Added Pin To Net: NetName=GND Pin=ESPHR-6
Added Pin To Net: NetName=GND Pin=ESPHR-15
